gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,gameSubtype,gameLabel,gameSubLabel,seriesGameNumber,attendance,arenaId,arenaName,arenaCity,arenaState,officials,gameDate
62500002,2027-10-13 21:30:00,Melbourne,United,15016,New York,Knicks,1610612752,113,100,15016,Regular Season,,Regular Season,,,17006,,Melbourne Arena,Melbourne,,"Brent Haskill, Jason Goldenberg, Chelisa Painter",2027-10-13 21:30:00
62500003,2028-05-04 19:00:00,San Antonio,Spurs,1610612759,Guangzhou,Loong-Lions,15018,90,106,15018,Regular Season,,Regular Season,,,15767,1000118,Frost Bank Center,San Antonio,TX,"Mark Lindsay, Scott Foster, Dedric Taylor",2028-05-04 19:00:00
62500004,2028-01-10 21:30:00,Oklahoma City,Thunder,1610612760,,Team T-Mac,1610616864,128,113,1610612760,Regular Season,,Regular Season,,,16805,1000052,Paycom Center,Oklahoma City,OK,"Mitchell Ervin, Brandon Schwab, Ed Malloy, Tyler Ford",2028-01-10 21:30:00
62500005,2028-03-23 20:00:00,Buffalo,Braves,1610612746,Indiana,Pacers,1610612754,97,95,1610612746,Regular Season,,Regular Season,,,16763,100,,,,"Jason Goldenberg, Brian Forte, Ashley Moyer-Gleich",2028-03-23 20:00:00
62500006,2028-03-25 20:30:00,Philadelphia,76ers,1610612755,Vancouver,Grizzlies,1610612763,109,80,1610612755,Regular Season,,Regular Season,,,15355,1000152,Xfinity Mobile Arena,Philadelphia,PA,"Andy Nagy, Robert Hussey, Ashley Moyer-Gleich, Brandon Adair",2028-03-25 20:30:00
62500007,2028-04-03 20:00:00,,Team T-Mac,1610616864,San Diego,Clippers,1610612746,117,81,1610616864,Regular Season,,Regular Season,,,15569,1000137,Intuit Dome,Inglewood,CA,"Mark Lindsay, Kevin Scott, Brandon Adair",2028-04-03 20:00:00
62500008,2028-04-12 20:30:00,Portland,Trail Blazers,1610612757,Philadelphia,76ers,1610612755,93,82,1610612757,Regular Season,,Regular Season,,,17988,51,Moda Center,Portland,OR,"Danielle Scott, Eric Dalen, Brent Barnaky",2028-04-12 20:30:00
62500009,2027-11-06 20:00:00,Seattle,SuperSonics,1610612760,Charlotte,Hornets,1610612766,97,110,1610612766,Regular Season,,Regular Season,,,19375,72,,,,"Tyler Ford, Marc Davis, Ashley Moyer-Gleich",2027-11-06 20:00:00
62500010,2028-01-21 21:30:00,Charlotte,Hornets,1610612766,Melbourne,United,15016,98,104,15016,Regular Season,,Regular Season,,,15458,9,Spectrum Center,Charlotte,NC,"Nate Cearley, Phenizee Ransom, Marat Kogut",2028-01-21 21:30:00
62500011,2028-01-17 20:30:00,Charlotte,Hornets,1610612766,Minnesota,Timberwolves,1610612750,97,115,1610612750,Regular Season,,Regular Season,,,16741,9,Spectrum Center,Charlotte,NC,"Karl Lane, Derrick Collins, Courtney Kirkland, Klajdi Mulla",2028-01-17 20:30:00
62500012,2028-02-12 21:30:00,Toronto,Raptors,1610612761,Phoenix,Suns,1610612756,97,128,1610612756,Regular Season,,Regular Season,,,19780,643,Scotiabank Arena,Toronto,ON,"Jenna Schroeder, JD Ralls, Brent Haskill, Sean Wright",2028-02-12 21:30:00
62500013,2027-10-25 22:00:00,,Stars,1610616859,San Antonio,Spurs,1610612759,98,102,1610612759,Regular Season,,Regular Season,,,16252,1000137,Intuit Dome,Inglewood,CA,"Jenna Reneau, JB DeRosa, John Goble",2027-10-25 22:00:00
62500014,2028-05-27 20:30:00,New Orleans,Jazz,1610612762,South East Melbourne,Phoenix,50013,117,85,1610612762,Regular Season,,Regular Season,,,19532,1000106,Delta Center,Salt Lake City,UT,"James Williams, Andy Nagy, Biniam Maru",2028-05-27 20:30:00
62500015,2028-03-23 19:30:00,Tri-Cities,Blackhawks,1610612737,Charlotte,Bobcats,1610612766,145,119,1610612737,Regular Season,,Regular Season,,,18561,0,,,,"Derrick Collins, Ed Malloy, Klajdi Mulla",2028-03-23 19:30:00
62500016,2027-12-31 20:00:00,,World,1610616861,Chicago,Packers,1610612764,116,104,1610616861,Regular Season,,Regular Season,,,17444,,nan Arena,,,"Sean Corbin, Danielle Scott, Tyler Ford",2027-12-31 20:00:00
62500017,2027-10-01 20:30:00,,Team Vince,1610616863,Tri-Cities,Blackhawks,1610612737,91,80,1610616863,Regular Season,,Regular Season,,,19002,,nan Arena,,,"James Williams, Jenna Schroeder, James Capers",2027-10-01 20:30:00
62500018,2028-02-01 20:00:00,Phoenix,Suns,1610612756,Ft. Wayne Zollner,Pistons,1610612765,99,117,1610612765,Regular Season,,Regular Season,,,15701,1000159,Mortgage Matchup Center,Phoenix,AZ,"John Goble, Andy Nagy, Mousa Dagher, Josh Tiven",2028-02-01 20:00:00
62500019,2028-02-13 20:30:00,,Team T-Mac,1610616864,Boston,Celtics,1610612738,89,104,1610612738,Regular Season,,Regular Season,,,16735,1000137,Intuit Dome,Inglewood,CA,"James Capers, Marat Kogut, Danielle Scott",2028-02-13 20:30:00
62500020,2028-05-19 19:00:00,Milwaukee,Bucks,1610612749,,Team Melo,1610616862,96,111,1610616862,Regular Season,,Regular Season,,,16840,642,Fiserv Forum,Milwaukee,WI,"Jacyn Goble, Matt Myers, Mitchell Ervin",2028-05-19 19:00:00
62500021,2027-10-04 19:00:00,,Team T-Mac,1610616864,Portland,Trail Blazers,1610612757,114,113,1610616864,Regular Season,,Regular Season,,,16875,1000137,Intuit Dome,Inglewood,CA,"Nate Cearley, Gina Catanzariti, John Butler",2027-10-04 19:00:00
62500022,2028-02-20 21:30:00,,World,1610616861,Phoenix,Suns,1610612756,94,98,1610612756,Regular Season,,Regular Season,,,16755,,nan Arena,,,"Ben Taylor, Josh Tiven, Tyler Ricks",2028-02-20 21:30:00
62500023,2028-01-06 19:00:00,,Stripes,1610616860,Washington,Wizards,1610612764,84,117,1610612764,Regular Season,,Regular Season,,,18531,1000137,Intuit Dome,Inglewood,CA,"Jenna Reneau, Tre Maddox, Marc Davis",2028-01-06 19:00:00
62500024,2027-11-20 19:30:00,Syracuse,Nationals,1610612755,Ft. Wayne Zollner,Pistons,1610612765,90,85,1610612755,Regular Season,,Regular Season,,,17779,0,,,,"Tyler Ricks, Natalie Sago, Andy Nagy",2027-11-20 19:30:00
62500025,2028-05-04 19:30:00,Milwaukee,Bucks,1610612749,Toronto,Raptors,1610612761,117,106,1610612749,Regular Season,,Regular Season,,,18789,642,Fiserv Forum,Milwaukee,WI,"John Butler, J.T. Orr, Eric Lewis",2028-05-04 19:30:00
62500026,2027-10-08 19:00:00,Philadelphia,76ers,1610612755,Ft. Wayne Zollner,Pistons,1610612765,111,93,1610612755,Regular Season,,Regular Season,,,16362,1000152,Xfinity Mobile Arena,Philadelphia,PA,"Simone Jelks, Intae Hwang, David Guthrie, Marat Kogut",2027-10-08 19:00:00
62500027,2028-04-12 19:30:00,Ft. Wayne Zollner,Pistons,1610612765,Boston,Celtics,1610612738,127,107,1610612765,Regular Season,,Regular Season,,,17172,624,Little Caesars Arena,Detroit,MI,"Nick Buchert, Jenna Reneau, Dannica Baroody, Simone Jelks",2028-04-12 19:30:00
62500028,2028-02-29 19:00:00,Orlando,Magic,1610612753,Denver,Nuggets,1610612743,80,113,1610612743,Regular Season,,Regular Season,,,19744,1000125,Kia Center,Orlando,FL,"Phenizee Ransom, Matt Kallio, Sha'Rae Mitchell",2028-02-29 19:00:00
62500029,2028-06-14 22:00:00,Guangzhou,Loong-Lions,15018,,Stripes,1610616860,85,117,1610616860,Regular Season,,Regular Season,,,15465,,Guangzhou Arena,Guangzhou,,"Jonathan Sterling, John Goble, JB DeRosa",2028-06-14 22:00:00
62500030,2028-01-29 20:00:00,Minnesota,Timberwolves,1610612750,Baltimore,Bullets,1610612764,102,107,1610612764,Regular Season,,Regular Season,,,19666,61,Target Center,Minneapolis,MN,"Scott Twardoski, JB DeRosa, Pat O'Connell",2028-01-29 20:00:00
62500031,2028-05-02 21:30:00,Hapoel,Jerusalem B.C.,50014,San Antonio,Spurs,1610612759,94,112,1610612759,Regular Season,,Regular Season,,,17136,,Hapoel Arena,Hapoel,,"Phenizee Ransom, Che Flores, Klajdi Mulla",2028-05-02 21:30:00
62500032,2028-03-02 20:30:00,Kansas City-Omaha,Kings,1610612758,Toronto,Raptors,1610612761,94,95,1610612761,Playoffs,,West Conf. Finals,West Conf. Finals,Game 6,15594,609,Golden 1 Center,Sacramento,CA,"Derrick Collins, Bill Kennedy, Curtis Blair",2028-03-02 20:30:00
